שם מוסך,איש קשר,טלפון,כתובת,התמחות,טיפולים,תנאי תשלום,הערות
פנצ'ר סנטר,אייל מלכה,04-6797099,פארק אדיסון,צמיגים,,שוטף 60,
מרכז שירות אוטו סטרט,אהרון חופי,04-6790484,יהודה לוי טבריה,מורשה דציה ,,שוטף 60,דצ'יה 
הנרי ודני שאמא,,04-8515244,נוף הגליל,מומחה איווקו,,,
נאחש סעיד ושות, ג'אבר זייד ,(054) 232-2159,קדמת הגליל ,מומחה פורד משאית ,,שוטף 60,
מוסך צלר,נורית ,(054) 217-8555,ראש פינה,כלי צמה וולוו,,שוטף 60,
מאיר ליסינג,גיא,(054) 568-8674,"חיים שפירא 6 רשל""צ ",כלי צמה ,,שוטף 60,
מ.ג. מאיר אקסטרים ונגררים ,מאיר גואטה,(050) 736-6377,המאור 3 טבריה,נגררים ,,שוטף 60,
מוסך נגה ,,04-840-0468,עיר גנים קריית אתא ,מכוניות אמריקאיות ,,,ג'י אמ סי + שברולט 
עבד אלחלים ,מדאם,04-6514414,מנשית זבדה,פורד ,תקלה | 12/10/2025,,פורד טרנזיט 
צמיגי אופיר ,,,,,,שוטף 60,
אייל מלכה ,,,,,,שוטף 60,
מכשירי תנועה - טיפולי צמה,שי ,(054) 903-3267,מוסך נייד ,"צמ""ה",,שוטף 60,